ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00069255;Willi;Orban;Orban;Willi Orban;RB Leipzig;DEFENDER;3700000;151;3.18
pl-k00070409;Michy;Batshuayi;Batshuayi;Michy Batshuayi;Eintracht Frankfurt;FORWARD;2200000;21;4.2
pl-k00070592;Jonathan;Tah;Tah;Jonathan Tah;Bayern München;DEFENDER;5500000;244;2.83
pl-k00070605;Harry;Kane;Kane;Harry Kane;Bayern München;FORWARD;8500000;345;2.71
pl-k00070806;Maximilian;Philipp;Philipp;Maximilian Philipp;SC Freiburg;FORWARD;1400000;4;0.0
pl-k00070987;Carl;Klaus;Klaus;Carl Klaus;1. FC Union Berlin;GOALKEEPER;800000;0;0.0
pl-k00070990;Matthias;Ginter;Ginter;Matthias Ginter;SC Freiburg;DEFENDER;3500000;189;3.03
pl-k00070997;Robert;Andrich;Andrich;Robert Andrich;Bayer 04 Leverkusen;MIDFIELDER;3800000;115;3.3
pl-k00071021;Benjamin;Henrichs;Henrichs;Benjamin Henrichs;RB Leipzig;DEFENDER;3400000;44;3.73
pl-k00071150;Joshua;Kimmich;Kimmich;Joshua Kimmich;Bayern München;DEFENDER;5000000;262;2.72
pl-k00071151;Niklas;Stark;Stark;Niklas Stark;Werder Bremen;DEFENDER;2000000;118;3.36
pl-k00071294;Dominik;Kohr;Kohr;Dominik Kohr;1. FSV Mainz 05;DEFENDER;2000000;139;3.31
pl-k00071610;Janik;Haberer;Haberer;Janik Haberer;1. FC Union Berlin;MIDFIELDER;1700000;66;3.86
pl-k00071930;Yannick;Gerhardt;Gerhardt;Yannick Gerhardt;VfL Wolfsburg;MIDFIELDER;2000000;68;3.75
pl-k00071980;Marius;Müller;M. Müller;Marius Müller;VfL Wolfsburg;GOALKEEPER;1000000;47;2.5
pl-k00072478;Mark;Flekken;Flekken;Mark Flekken;Bayer 04 Leverkusen;GOALKEEPER;999000000;0;0.0
pl-k00072607;Niklas;Lomb;Lomb;Niklas Lomb;Bayer 04 Leverkusen;GOALKEEPER;500000;0;0.0
pl-k00072676;Benedikt;Gimber;Gimber;Benedikt Gimber;1. FC Heidenheim;DEFENDER;1800000;98;3.73
pl-k00072684;Leopold;Zingerle;Zingerle;Leopold Zingerle;RB Leipzig;GOALKEEPER;500000;0;0.0
pl-k00072706;Christian;Günter;Günter;Christian Günter;SC Freiburg;DEFENDER;2600000;135;3.48
pl-k00072755;Alexander;Nübel;Nübel;Alexander Nübel;VfB Stuttgart;GOALKEEPER;3400000;218;3.06
pl-k00072759;Vincenzo;Grifo;Grifo;Vincenzo Grifo;SC Freiburg;MIDFIELDER;4000000;210;3.39
pl-k00073206;Marcel;Sabitzer;Sabitzer;Marcel Sabitzer;Borussia Dortmund;MIDFIELDER;4000000;75;3.73
pl-k00073704;Patrick;Mainka;P. Mainka;Patrick Mainka;1. FC Heidenheim;DEFENDER;2800000;174;3.35
pl-k00075006;Jeffrey;Gouweleeuw;Gouweleeuw;Jeffrey Gouweleeuw;FC Augsburg;DEFENDER;2200000;165;3.39
pl-k00075072;Alassane;Plea;Plea;Alassane Plea;Bor. Mönchengladbach;FORWARD;2500000;143;3.66
pl-k00075261;Haris;Tabakovic;Tabakovic;Haris Tabakovic;TSG Hoffenheim;FORWARD;2500000;49;3.85
pl-k00075379;Silvan;Widmer;Widmer;Silvan Widmer;1. FSV Mainz 05;DEFENDER;1800000;54;3.83
pl-k00075608;Finn;Dahmen;Dahmen;Finn Dahmen;FC Augsburg;GOALKEEPER;1200000;153;2.76
pl-k00075624;Niklas;Dorsch;Dorsch;Niklas Dorsch;1. FC Heidenheim;MIDFIELDER;1500000;97;3.45
pl-k00075625;Dennis;Geiger;Geiger;Dennis Geiger;TSG Hoffenheim;MIDFIELDER;1600000;28;4.31
pl-k00075628;Salih;Özcan;Özcan;Salih Özcan;Borussia Dortmund;MIDFIELDER;1800000;46;3.78
pl-k00075651;Frederik;Rönnow;Rönnow;Frederik Rönnow;1. FC Union Berlin;GOALKEEPER;3200000;206;2.91
pl-k00076053;Michael;Zetterer;Zetterer;Michael Zetterer;Werder Bremen;GOALKEEPER;3200000;186;3.28
pl-k00076421;Phillipp;Mwene;Mwene;Phillipp Mwene;1. FSV Mainz 05;DEFENDER;1800000;151;3.44
pl-k00076446;Yussuf;Poulsen;Poulsen;Yussuf Poulsen;RB Leipzig;FORWARD;2200000;50;4.0
pl-k00076575;Lukas;Klostermann;Klostermann;Lukas Klostermann;RB Leipzig;DEFENDER;2000000;91;3.62
pl-k00076799;Julian;Weigl;Weigl;Julian Weigl;Bor. Mönchengladbach;MIDFIELDER;2200000;88;3.86
pl-k00076954;Tim;Kleindienst;Kleindienst;Tim Kleindienst;Bor. Mönchengladbach;FORWARD;3800000;202;3.45
pl-k00077009;Ihlas;Bebou;Bebou;Ihlas Bebou;TSG Hoffenheim;FORWARD;2500000;2;0.0
pl-k00077333;Marvin;Friedrich;M. Friedrich;Marvin Friedrich;Bor. Mönchengladbach;DEFENDER;1600000;76;3.23
pl-k00077817;Hauke;Wahl;Wahl;Hauke Wahl;FC St. Pauli;DEFENDER;1800000;134;3.48
pl-k00078917;Jannik;Huth;Huth;Jannik Huth;SC Freiburg;GOALKEEPER;500000;0;0.0
pl-k00079036;Mahmoud;Dahoud;Dahoud;Mahmoud Dahoud;Eintracht Frankfurt;MIDFIELDER;2000000;34;3.33
pl-k00079078;Nikola;Vasilj;Vasilj;Nikola Vasilj;FC St. Pauli;GOALKEEPER;2200000;261;2.77
pl-k00079176;Atakan;Karazor;Karazor;Atakan Karazor;VfB Stuttgart;MIDFIELDER;3000000;151;3.4
pl-k00079199;Moritz;Nicolas;Nicolas;Moritz Nicolas;Bor. Mönchengladbach;GOALKEEPER;1800000;142;2.78
pl-k00079360;Pascal;Stenzel;P. Stenzel;Pascal Stenzel;VfB Stuttgart;DEFENDER;1700000;20;4.0
pl-k00079503;Maximilian;Eggestein;M. Eggestein;Maximilian Eggestein;SC Freiburg;MIDFIELDER;2500000;119;3.68
pl-k00079577;Marius;Wolf;M. Wolf;Marius Wolf;FC Augsburg;MIDFIELDER;1800000;79;3.97
pl-k00079713;Jonas;Föhrenbach;Föhrenbach;Jonas Föhrenbach;1. FC Heidenheim;DEFENDER;1700000;74;3.81
pl-k00079813;Maximilian;Mittelstädt;Mittelstädt;Maximilian Mittelstädt;VfB Stuttgart;DEFENDER;3500000;149;3.42
pl-k00079917;Daniel-Kofi;Kyereh;Kyereh;Daniel-Kofi Kyereh;SC Freiburg;MIDFIELDER;1200000;0;0.0
pl-k00079935;Lucas;Höler;Höler;Lucas Höler;SC Freiburg;FORWARD;2800000;136;3.52
pl-k00080083;Nadiem;Amiri;Amiri;Nadiem Amiri;1. FSV Mainz 05;MIDFIELDER;3500000;223;3.02
pl-k00080088;Grischa;Prömel;Prömel;Grischa Prömel;TSG Hoffenheim;MIDFIELDER;2500000;6;3.75
pl-k00080174;Waldemar;Anton;Anton;Waldemar Anton;Borussia Dortmund;DEFENDER;4000000;135;3.26
pl-k00080351;Chris;Führich;Führich;Chris Führich;VfB Stuttgart;MIDFIELDER;5000000;146;3.41
pl-k00080364;Amos;Pieper;Pieper;Amos Pieper;Werder Bremen;DEFENDER;1600000;84;3.42
pl-k00080554;Elvis;Rexhbecaj;Rexhbecaj;Elvis Rexhbecaj;FC Augsburg;MIDFIELDER;1600000;72;3.83
pl-k00080766;Florian;Müller;F. Müller;Florian Müller;SC Freiburg;GOALKEEPER;800000;44;3.28
pl-k00080875;Adrian;Beck;Beck;Adrian Beck;1. FC Heidenheim;MIDFIELDER;1300000;133;3.36
pl-k00081437;Kingsley;Coman;Coman;Kingsley Coman;Bayern München;MIDFIELDER;4200000;140;3.17
pl-k00081465;Alejandro;Grimaldo;Grimaldo;Alejandro Grimaldo;Bayer 04 Leverkusen;DEFENDER;6500000;174;3.34
pl-k00081580;Paul;Jaeckel;Jaeckel;Paul Jaeckel;1. FC Union Berlin;DEFENDER;1200000;0;0.0
pl-k00081638;Marco;Richter;Richter;Marco Richter;1. FSV Mainz 05;FORWARD;1600000;0;0.0
pl-k00081913;Florian;Neuhaus;Neuhaus;Florian Neuhaus;Bor. Mönchengladbach;MIDFIELDER;2200000;45;3.5
pl-k00081971;Jackson;Irvine;Irvine;Jackson Irvine;FC St. Pauli;MIDFIELDER;2200000;125;3.53
pl-k00082087;Arne;Maier;Maier;Arne Maier;FC Augsburg;MIDFIELDER;1600000;42;3.91
pl-k00082119;Fabian;Bredlow;Bredlow;Fabian Bredlow;VfB Stuttgart;GOALKEEPER;800000;0;0.0
pl-k00082711;Sirlord;Conteh;S. Conteh;Sirlord Conteh;1. FC Heidenheim;MIDFIELDER;1300000;36;4.03
pl-k00082727;Robin;Hack;Hack;Robin Hack;Bor. Mönchengladbach;MIDFIELDER;3500000;133;3.71
pl-k00082732;Denis;Vavro;Vavro;Denis Vavro;VfL Wolfsburg;DEFENDER;1800000;136;3.45
pl-k00083988;Marius;Bülter;Bülter;Marius Bülter;TSG Hoffenheim;FORWARD;2400000;126;3.5
pl-k00084309;Jonas;Omlin;Omlin;Jonas Omlin;Bor. Mönchengladbach;GOALKEEPER;2600000;53;3.33
pl-k00084365;Nico;Elvedi;Elvedi;Nico Elvedi;Bor. Mönchengladbach;DEFENDER;2000000;111;3.46
pl-k00084538;Manolis;Saliakas;Saliakas;Manolis Saliakas;FC St. Pauli;DEFENDER;1600000;98;3.75
pl-k00084550;Robin;Koch;R. Koch;Robin Koch;Eintracht Frankfurt;DEFENDER;3000000;181;3.1
pl-k00084940;Philipp;Lienhart;Lienhart;Philipp Lienhart;SC Freiburg;DEFENDER;3000000;135;3.47
pl-k00084943;Konrad;Laimer;Laimer;Konrad Laimer;Bayern München;MIDFIELDER;3200000;116;3.43
pl-k00085013;Joao Maria;Lobo Alves Palhinha Goncalves;Joao Palhinha;Joao Palhinha;Bayern München;MIDFIELDER;5000000;40;3.56
pl-k00085014;André;Silva;Silva;André Silva;RB Leipzig;FORWARD;2800000;38;3.81
pl-k00085382;Jeff;Chabot;Chabot;Jeff Chabot;VfB Stuttgart;DEFENDER;3200000;165;3.2
pl-k00085582;Dawid;Kownacki;Kownacki;Dawid Kownacki;Werder Bremen;FORWARD;1400000;0;0.0
pl-k00085778;Patrik;Schick;Schick;Patrik Schick;Bayer 04 Leverkusen;FORWARD;4000000;218;3.0
pl-k00085871;Lennart;Grill;Grill;Lennart Grill;1. FC Union Berlin;GOALKEEPER;999000000;0;0.0
pl-k00086106;Phillip;Tietz;P. Tietz;Phillip Tietz;FC Augsburg;FORWARD;1800000;107;3.75
pl-k00086138;Niklas;Beste;Beste;Niklas Beste;SC Freiburg;MIDFIELDER;3400000;24;3.75
pl-k00086166;Raphael;Guerreiro;Guerreiro;Raphael Guerreiro;Bayern München;DEFENDER;3400000;128;3.31
pl-k00087441;Steve;Mounié;Mounié;Steve Mounié;FC Augsburg;FORWARD;1600000;29;3.83
pl-k00087489;Edimilson;Fernandes;Fernandes;Edimilson Fernandes;1. FSV Mainz 05;DEFENDER;1500000;0;0.0
pl-k00087673;Gregor;Kobel;Kobel;Gregor Kobel;Borussia Dortmund;GOALKEEPER;4200000;213;2.97
pl-k00087705;Ermedin;Demirovic;Demirovic;Ermedin Demirovic;VfB Stuttgart;FORWARD;4800000;162;3.56
pl-k00087750;David;Raum;Raum;David Raum;RB Leipzig;DEFENDER;3600000;134;3.14
pl-k00087823;Jae-Sung;Lee;J.-S. Lee;Jae-Sung Lee;1. FSV Mainz 05;MIDFIELDER;2800000;211;3.3
pl-k00087885;Deniz;Undav;Undav;Deniz Undav;VfB Stuttgart;FORWARD;5500000;157;3.23
pl-k00087967;Alex;Kral;Kral;Alex Kral;1. FC Union Berlin;MIDFIELDER;1600000;0;0.0
pl-k00088061;Tim;Skarke;Skarke;Tim Skarke;1. FC Union Berlin;FORWARD;2500000;42;4.18
pl-k00088151;Dayot;Upamecano;Upamecano;Dayot Upamecano;Bayern München;DEFENDER;3000000;138;2.9
pl-k00088182;Yannik;Keitel;Keitel;Yannik Keitel;VfB Stuttgart;MIDFIELDER;2000000;28;3.25
pl-k00088192;Jonathan;Burkardt;Burkardt;Jonathan Burkardt;1. FSV Mainz 05;FORWARD;3800000;236;3.06
pl-k00088240;Aleix;Garcia;Aleix Garcia;Aleix Garcia;Bayer 04 Leverkusen;MIDFIELDER;3200000;109;3.56
pl-k00088765;Lars;Ritzka;La. Ritzka;Lars Ritzka;FC St. Pauli;DEFENDER;1200000;55;3.77
pl-k00088770;Jacob;Bruun Larsen;Bruun Larsen;Jacob Bruun Larsen;VfB Stuttgart;FORWARD;1800000;89;3.36
pl-k00088828;Sebastien;Haller;Haller;Sebastien Haller;Borussia Dortmund;FORWARD;3000000;0;0.0
pl-k00089233;Mathias;Honsak;Honsak;Mathias Honsak;1. FC Heidenheim;FORWARD;1300000;67;3.8
pl-k00089434;Xaver;Schlager;X. Schlager;Xaver Schlager;RB Leipzig;MIDFIELDER;3000000;12;3.5
pl-k00089441;Lucas;Tousart;Tousart;Lucas Tousart;1. FC Union Berlin;MIDFIELDER;2400000;30;3.85
pl-k00089442;Serhou;Guirassy;Guirassy;Serhou Guirassy;Borussia Dortmund;FORWARD;7500000;228;3.3
pl-k00089649;Ramy;Bensebaini;Bensebaini;Ramy Bensebaini;Borussia Dortmund;DEFENDER;2400000;146;3.33
pl-k00089655;Ellyes;Skhiri;Skhiri;Ellyes Skhiri;Eintracht Frankfurt;MIDFIELDER;3200000;100;3.7
pl-k00089857;Maxim;Leitsch;Leitsch;Maxim Leitsch;1. FSV Mainz 05;DEFENDER;1500000;47;3.45
pl-k00089892;Ridle;Baku;R. Baku;Ridle Baku;RB Leipzig;MIDFIELDER;2000000;141;3.62
pl-k00090042;Marco;Friedl;Friedl;Marco Friedl;Werder Bremen;DEFENDER;3500000;138;3.08
pl-k00090133;Omar Haktab;Traoré;Traoré;Omar Haktab Traoré;1. FC Heidenheim;DEFENDER;1800000;96;3.72
pl-k00090149;Florent;Muslija;Muslija;Florent Muslija;SC Freiburg;MIDFIELDER;1600000;16;4.0
pl-k00090363;Vaclav;Cerny;Cerny;Vaclav Cerny;VfL Wolfsburg;MIDFIELDER;999000000;0;0.0
pl-k00090371;Philipp;Sander;Sander;Philipp Sander;Bor. Mönchengladbach;MIDFIELDER;2000000;74;3.75
pl-k00090996;Exequiel;Palacios;Palacios;Exequiel Palacios;Bayer 04 Leverkusen;MIDFIELDER;5000000;127;2.9
pl-k00091126;Franck;Honorat;Honorat;Franck Honorat;Bor. Mönchengladbach;MIDFIELDER;2800000;117;3.42
pl-k00091372;Josip;Juranovic;Juranovic;Josip Juranovic;1. FC Union Berlin;DEFENDER;1800000;48;3.73
pl-k00091663;Laszlo;Benes;Benes;Laszlo Benes;1. FC Union Berlin;MIDFIELDER;2000000;34;4.38
pl-k00092237;Danilho;Doekhi;Doekhi;Danilho Doekhi;1. FC Union Berlin;DEFENDER;2600000;134;3.59
pl-k00092331;Bernardo;Fernandes da Silva Junior;Bernardo;Bernardo;TSG Hoffenheim;DEFENDER;2600000;90;3.38
pl-k00093359;Maurides;Roque Junior;Maurides;Maurides;FC St. Pauli;FORWARD;600000;2;0.0
pl-k00093478;Oliver;Burke;Burke;Oliver Burke;1. FC Union Berlin;FORWARD;800000;78;3.7
pl-k00093610;Pavao;Pervan;Pervan;Pavao Pervan;VfL Wolfsburg;GOALKEEPER;500000;0;0.0
pl-k00093688;Cedric;Zesiger;Zesiger;Cedric Zesiger;FC Augsburg;DEFENDER;1800000;86;3.52
pl-k00093843;Daniel;Klein;Klein;Daniel Klein;FC Augsburg;GOALKEEPER;500000;0;0.0
pl-k00093857;Tom;Krauß;Krauß;Tom Krauß;1. FSV Mainz 05;MIDFIELDER;1800000;62;3.36
pl-k00094223;Attila;Szalai;At. Szalai;Attila Szalai;TSG Hoffenheim;DEFENDER;1500000;0;0.0
pl-k00094305;Tim;Siersleben;Siersleben;Tim Siersleben;1. FC Heidenheim;DEFENDER;1200000;48;3.71
pl-k00094599;Stefan;Schimmer;Schimmer;Stefan Schimmer;1. FC Heidenheim;FORWARD;1000000;2;4.7
pl-k00094920;Eljif;Elmas;Elmas;Eljif Elmas;RB Leipzig;MIDFIELDER;2000000;0;4.5
pl-k00094959;Romano;Schmid;Schmid;Romano Schmid;Werder Bremen;MIDFIELDER;3200000;195;3.33
pl-k00095041;Aurelio;Buta;Buta;Aurelio Buta;Eintracht Frankfurt;DEFENDER;1600000;0;0.0
pl-k00095063;Kristijan;Jakic;Jakic;Kristijan Jakic;FC Augsburg;MIDFIELDER;1800000;94;3.77
pl-k00095202;Stefan;Drljaca;Drljaca;Stefan Drljaca;VfB Stuttgart;GOALKEEPER;500000;0;0.0
pl-k00095291;Lovro;Majer;Majer;Lovro Majer;VfL Wolfsburg;MIDFIELDER;2200000;48;2.63
pl-k00095487;Robert;Skov;Skov;Robert Skov;1. FC Union Berlin;MIDFIELDER;1700000;50;3.77
pl-k00096032;Felix;Agu;Agu;Felix Agu;Werder Bremen;DEFENDER;1600000;98;3.59
pl-k00096038;Anton;Stach;Stach;Anton Stach;TSG Hoffenheim;MIDFIELDER;3000000;159;3.25
pl-k00096140;Nico;Schlotterbeck;N. Schlotterbeck;Nico Schlotterbeck;Borussia Dortmund;DEFENDER;3800000;106;3.36
pl-k00096210;Eric;Smith;Smith;Eric Smith;FC St. Pauli;DEFENDER;1800000;134;3.53
pl-k00096680;Rasmus;Kristensen;Kristensen;Rasmus Kristensen;Eintracht Frankfurt;DEFENDER;2000000;186;3.22
pl-k00097350;Dimitrios;Giannoulis;Giannoulis;Dimitrios Giannoulis;FC Augsburg;DEFENDER;1700000;128;3.6
pl-k00097392;Budu;Zivzivadze;Zivzivadze;Budu Zivzivadze;1. FC Heidenheim;FORWARD;2300000;61;3.58
pl-k00097452;Alexis;Claude-Maurice;Claude-Maurice;Alexis Claude-Maurice;FC Augsburg;MIDFIELDER;1600000;168;3.43
pl-k00097526;Arnaud;Nordin;Nordin;Arnaud Nordin;1. FSV Mainz 05;FORWARD;2000000;12;3.5
pl-k00097797;Martin;Terrier;Terrier;Martin Terrier;Bayer 04 Leverkusen;FORWARD;3000000;50;3.56
pl-k00097892;Jan;Olschowsky;Olschowsky;Jan Olschowsky;Bor. Mönchengladbach;GOALKEEPER;800000;0;0.0
pl-k00097893;Diant;Ramaj;Ramaj;Diant Ramaj;Borussia Dortmund;GOALKEEPER;999000000;0;0.0
pl-k00097912;Noah;Weißhaupt;Weißhaupt;Noah Weißhaupt;SC Freiburg;MIDFIELDER;1600000;54;3.82
pl-k00097999;Maximilian;Bauer;M. Bauer;Maximilian Bauer;FC Augsburg;DEFENDER;1200000;14;4.25
pl-k00098165;Mergim;Berisha;M. Berisha;Mergim Berisha;TSG Hoffenheim;FORWARD;2200000;35;3.57
pl-k00099583;Alphonso;Davies;Davies;Alphonso Davies;Bayern München;DEFENDER;3400000;111;3.13
pl-k00099757;Mattias;Svanberg;Svanberg;Mattias Svanberg;VfL Wolfsburg;MIDFIELDER;2200000;66;3.77
pl-k00099794;Amadou;Haidara;A. Haidara;Amadou Haidara;RB Leipzig;MIDFIELDER;2800000;72;3.76
pl-k00099897;Lennard;Maloney;Maloney;Lennard Maloney;1. FSV Mainz 05;MIDFIELDER;2000000;38;3.85
pl-k00099914;Josha;Vagnoman;Vagnoman;Josha Vagnoman;VfB Stuttgart;DEFENDER;2200000;63;3.89
pl-k00099946;Nikolas;Nartey;Nartey;Nikolas Nartey;VfB Stuttgart;MIDFIELDER;1000000;2;0.0
pl-k00100088;Jessic;Ngankam;Ngankam;Jessic Ngankam;Eintracht Frankfurt;FORWARD;999000000;0;0.0
pl-k00100299;Dan-Axel;Zagadou;Zagadou;Dan-Axel Zagadou;VfB Stuttgart;DEFENDER;2000000;4;0.0
pl-k00100305;Anthony;Caci;Caci;Anthony Caci;1. FSV Mainz 05;DEFENDER;2000000;173;3.33
pl-k00100558;Lutsharel;Geertruida;Geertruida;Lutsharel Geertruida;RB Leipzig;DEFENDER;2600000;62;3.87
pl-k00100591;Paul;Nebel;Nebel;Paul Nebel;1. FSV Mainz 05;MIDFIELDER;1800000;247;2.86
pl-k00100598;Youssoufa;Moukoko;Moukoko;Youssoufa Moukoko;Borussia Dortmund;FORWARD;2200000;0;0.0
pl-k00100804;Ozan;Kabak;Kabak;Ozan Kabak;TSG Hoffenheim;DEFENDER;2000000;0;0.0
pl-k00101253;Mads;Pedersen;Pedersen;Mads Pedersen;FC Augsburg;DEFENDER;1400000;0;4.63
pl-k00101451;Benedict;Hollerbach;Hollerbach;Benedict Hollerbach;1. FSV Mainz 05;FORWARD;1800000;178;3.5
pl-k00101460;Keven;Schlotterbeck;K. Schlotterbeck;Keven Schlotterbeck;FC Augsburg;DEFENDER;2800000;80;3.5
pl-k00101614;Diogo Filipe;Monteiro Pinto Leite;Diogo Leite;Diogo Leite;1. FC Union Berlin;DEFENDER;1700000;119;3.57
pl-k00101721;Woo-Yeong;Jeong;Jeong;Woo-Yeong Jeong;1. FC Union Berlin;MIDFIELDER;1600000;70;3.88
pl-k00102067;Nicolas;Cozza;Cozza;Nicolas Cozza;VfL Wolfsburg;DEFENDER;1400000;0;0.0
pl-k00102731;Josip;Stanisic;Stanisic;Josip Stanisic;Bayern München;DEFENDER;2500000;60;3.25
pl-k00102795;Luca;Philipp;L. Philipp;Luca Philipp;TSG Hoffenheim;GOALKEEPER;800000;37;3.08
pl-k00102800;Christoph;Baumgartner;Baumgartner;Christoph Baumgartner;RB Leipzig;MIDFIELDER;3000000;78;3.88
pl-k00102817;Ritsu;Doan;Doan;Ritsu Doan;SC Freiburg;MIDFIELDER;4000000;256;3.06
pl-k00102956;Kamil;Grabara;Grabara;Kamil Grabara;VfL Wolfsburg;GOALKEEPER;2800000;193;3.0
pl-k00102978;Finn Ole;Becker;Becker;Finn Ole Becker;TSG Hoffenheim;MIDFIELDER;1300000;35;3.81
pl-k00103305;Philipp;Treu;Treu;Philipp Treu;FC St. Pauli;DEFENDER;1400000;135;3.55
